BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
TotalBank,4.0,$0,4.41%,$2.5k,$25k,4.41
ZYNLO Bank,5.0,$0,4.40%,$0,$0,4.4
Vio Bank,5.0,$0,4.36%,$0,$100,4.36
Brilliant Bank,4.5,—,4.35%,$1k,$1k,4.35
CFG Bank,4.3,$10,4.32%,$1k,$1k,4.32
First Foundation Bank,5.0,$0,4.25%,$0,$1k,4.25
Harborstone Credit Union,4.8,—,4.25%,$1,$1,4.25
Merchants Bank of Indiana,5.0,$0,4.25%,$0,$50,4.25
Prime Alliance Bank,5.0,$0,4.15%,$0,—,4.15
Redneck Bank,5.0,$0,4.15%,$0,$500,4.15
Bank of Blue Valley,5.0,—,4.05%,$0,—,4.05
UFB Direct,4.9,$10,4.01%,$0,$0,4.01
Geico Credit Union,5.0,—,4.00%,$15k,—,4.0
Virtual Bank,5.0,$5,4.00%,$0,$100,4.0
iGObanking,3.2,$0,4.00%,$25k,$25k,4.0
EverBank,5.0,$0,4.00%,$10k,$0,4.0
Armed Forces Bank,3.6,—,4.00%,$25k,—,4.0
BankPurely,3.6,—,3.90%,$25k,$25k,3.9
My eBanc,4.4,$15,3.90%,$0,$5k,3.9
Sallie Mae Bank,5.0,$0,3.85%,$0,$0,3.85
CNB Bank Direct,3.2,$0,3.80%,$25k,$25k,3.8
Northern Bank Direct,4.8,$0,3.75%,$0,$5k,3.75
Western State Bank,4.8,$0,3.75%,$0,$5k,3.75
FNBO Direct,5.0,$0,3.70%,$25k,$0,3.7
First Internet Bank,5.0,$5,3.61%,$0,$100,3.61
Ally Bank,5.0,$0,3.60%,$0,$0,3.6
Kinecta Federal Credit Union,5.0,$0,3.50%,$0,$25,3.5
Discover®,5.0,$0,3.50%,$0,$0,3.5
Spectrum Credit Union,4.8,$0,3.40%,$25k,$0,3.4
Chevron Federal Credit Union,5.0,$0,3.40%,$25k,$0,3.4
Gateway First Bank,4.7,—,3.40%,$25k,—,3.4
Vibrant Credit Union,4.7,—,3.33%,$0,—,3.33
Northpointe Bank,3.6,$0,3.25%,$25k,$100,3.25
Bank5 Connect,4.0,—,3.03%,$100,—,3.03
Fort Bragg Federal Credit Union,3.5,—,3.00%,$2.5k,—,3.0
nbkc bank,5.0,—,3.00%,$0,$0,3.0
Bellco Credit Union,4.1,$10,2.70%,$10k,$1k,2.7
American Heritage Credit Union,3.7,$10,2.65%,$25k,$2k,2.65
Texas Capital Bank,4.4,$0,2.54%,$500,—,2.54
National Cooperative Bank,3.6,$25,2.53%,$0,$100,2.53
Security Service Federal Credit Union,4.4,$0,2.53%,$0,$1k,2.53
Sun Canyon Bank,3.3,$10,2.53%,$2.5k,$2.5k,2.53
First National Bank Texas,4.3,$12,2.50%,$25k,$0,2.5
Pennsylvania State Employees Credit Union,4.8,—,2.50%,$500,—,2.5
First Heroes National Bank,5.0,—,2.50%,$25k,—,2.5
Affinity Plus Federal Credit Union,2.1,$20,2.50%,$10k,—,2.5
The Federal Savings Bank,3.3,—,2.50%,$2k,$2k,2.5
ConnectOne Bank,4.3,$10,2.50%,$25k,$1k,2.5
Luana Savings Bank,3.7,$10,2.43%,$2.5k,$2.5k,2.43
Seattle Bank,4.8,$5,2.40%,$0,$100,2.4
River City Federal Credit Union,3.3,—,2.27%,$2k,—,2.27
Achieva Credit Union,3.4,—,2.25%,$10k,—,2.25
Firstmark Credit Union,4.0,—,2.25%,$25k,—,2.25
