BankName,Rating,EarlyWithDrawalPenalty,APY,MinEarn,MinDeposit,APY_Value
Northern Bank Direct,4.0,180 Days,4.50%,$500,$500,4.5
My eBanc,3.4,90 Days,4.45%,$5k,$5k,4.45
GECU,4.7,90 Days,4.44%,$50,$50,4.44
Colorado Federal Savings Bank,3.6,90 Days,4.40%,$5k,$5k,4.4
Communitywide Federal Credit Union,3.0,—,4.40%,$1k,$1k,4.4
First Internet Bank,3.4,180 Days,4.40%,$1k,$1k,4.4
EagleBank,3.0,—,4.40%,$1k,$1k,4.4
Providence Bank (NC),4.1,—,4.40%,$1k,—,4.4
State Employees' Credit Union (NC),4.7,—,4.40%,$250,$250,4.4
Genisys Credit Union,4.8,90 Days,4.37%,$500,$500,4.37
Seattle Bank,4.0,90 Days,4.35%,$1k,$1k,4.35
NexBank,3.2,—,4.35%,$10k,$10k,4.35
Prime Alliance Bank,4.8,30 Days,4.30%,$500,$500,4.3
USALLIANCE Financial,4.1,180 Days,4.30%,$500,$500,4.3
Brilliant Bank,3.0,—,4.30%,$1k,$1k,4.3
Sallie Mae Bank,3.6,180 Days,4.30%,$2.5k,$2.5k,4.3
Lafayette Federal Credit Union,4.1,180 Days,4.28%,$500,$500,4.28
TotalBank,3.6,90 Days,4.25%,$25k,$25k,4.25
Rising Bank,3.8,180 Days,4.25%,$1k,$1k,4.25
Mountain America Credit Union,4.8,180 Days,4.25%,$500,$500,4.25
Liberty Federal Credit Union,5.0,—,4.25%,$0,—,4.25
Empeople Credit Union,4.7,90 Days,4.25%,$500,$500,4.25
Kinecta Federal Credit Union,4.6,90 Days,4.25%,$100,$100,4.25
AmeriCU,3.9,120 Days,4.25%,$500,$500,4.25
ableBanking,2.2,—,4.25%,$5k,$5k,4.25
TAB Bank,4.2,90 Days,4.21%,$1k,$1k,4.21
Quorum Federal Credit Union,4.0,—,4.20%,$100,$1k,4.2
Utah First Federal Credit Union,2.2,—,4.20%,$2k,$2k,4.2
Dover Federal Credit Union,4.6,180 Days,4.20%,$500,$500,4.2
Merrick Bank,2.2,—,4.20%,$25k,$25k,4.2
Popular Direct,2.2,270 Days,4.20%,$10k,$10k,4.2
KS StateBank,4.1,180 Days,4.20%,$500,$500,4.2
NASA Federal Credit Union,2.5,182 Days,4.19%,$10k,$10k,4.19
All In Credit Union (AL),4.1,—,4.18%,$1k,—,4.18
First National Bank of America,4.2,90 Days,4.16%,$1k,$1k,4.16
Peak Bank,4.1,—,4.16%,$1k,—,4.16
Valley Direct,4.6,180 Days,4.15%,$500,$500,4.15
Synchrony Bank,4.8,180 Days,4.15%,$0,$0,4.15
American Bank,4.7,90 Days,4.15%,$500,$500,4.15
Valley National Bank,5.0,—,4.15%,$500,—,4.15
Luana Savings Bank,3.6,—,4.14%,$2k,—,4.14
Library Of Congress Federal Credit Union,4.0,180 Days,4.11%,$500,$500,4.11
Andrews Federal Credit Union,3.8,90 Days,4.10%,$1k,$1k,4.1
Velocity Credit Union,4.0,—,4.10%,$1k,$1k,4.1
American Heritage Credit Union,3.1,180 Days,4.10%,$1k,$500,4.1
EverBank,3.8,—,4.10%,$1k,—,4.1
Self-Help Credit Union,4.5,90 Days,4.08%,$500,$500,4.08
Bayer Heritage Federal Credit Union,4.6,90 Days,4.08%,$100,$100,4.08
Vision Financial Federal Credit Union,4.7,—,4.07%,$0,—,4.07
Pen Air Credit Union,4.7,—,4.05%,$500,—,4.05
Salem Five,2.0,—,4.05%,$10k,—,4.05
Service Credit Union,3.8,—,4.05%,$500,$500,4.05
The Federal Savings Bank,3.4,—,4.05%,$5k,—,4.05
Credit Human,3.4,270 Days,4.01%,$500,$500,4.01
Sun East Federal Credit Union,3.8,180 Days,4.00%,$500,$500,4.0
Northwest Federal Credit Union,3.1,180 Days,4.00%,$1k,$1k,4.0
Bask Bank,3.7,180 Days,4.00%,$1k,$1k,4.0
Affinity Plus Federal Credit Union,4.6,180 Days,4.00%,$500,$500,4.0
American Express,3.6,270 Days,4.00%,$0,$0,4.0
MainStreet Bank,4.4,90 Days,4.00%,$500,$500,4.0
Evergreen Bank Group,4.7,90 Days,4.00%,$500,$500,4.0
iGObanking,3.8,—,4.00%,$1k,—,4.0
Ideal Credit Union,4.6,90 Days,4.00%,$500,$500,4.0
Fort Bragg Federal Credit Union,3.0,90 Days,4.00%,$25k,$25k,4.0
Capital One,4.6,90 Days,4.00%,$0,$0,4.0
Barclays,4.8,90 Days,4.00%,$0,$0,4.0
CFG Bank,3.8,—,4.00%,$500,$500,4.0
