BankName,Rating,EarlyWithDrawalPenalty,APY,MinEarn,MinDeposit,APY_Value
Pelican State Credit Union,4.0,—,4.49%,$500,$500,4.49
NASA Federal Credit Union,2.5,182 Days,4.45%,$10k,$10k,4.45
My eBanc,3.4,90 Days,4.45%,$5k,$5k,4.45
GECU,4.7,90 Days,4.44%,$50,$50,4.44
EagleBank,3.0,—,4.40%,$1k,$1k,4.4
Providence Bank (NC),4.1,—,4.40%,$1k,—,4.4
State Employees' Credit Union (NC),4.7,—,4.40%,$250,$250,4.4
Communitywide Federal Credit Union,3.0,—,4.40%,$1k,$1k,4.4
Colorado Federal Savings Bank,3.6,90 Days,4.40%,$5k,$5k,4.4
NexBank,3.2,—,4.35%,$10k,$10k,4.35
Prime Alliance Bank,4.8,30 Days,4.30%,$500,$500,4.3
Brilliant Bank,3.0,—,4.30%,$1k,$1k,4.3
Sallie Mae Bank,3.6,180 Days,4.30%,$2.5k,$2.5k,4.3
First Internet Bank,3.4,180 Days,4.29%,$1k,$1k,4.29
Lafayette Federal Credit Union,4.1,180 Days,4.28%,$500,$500,4.28
Popular Direct,2.2,270 Days,4.26%,$10k,$10k,4.26
ableBanking,2.2,—,4.25%,$5k,$5k,4.25
AmeriCU,3.9,120 Days,4.25%,$500,$500,4.25
Empeople Credit Union,4.7,90 Days,4.25%,$500,$500,4.25
Kinecta Federal Credit Union,4.6,90 Days,4.25%,$100,$100,4.25
TotalBank,3.6,90 Days,4.25%,$25k,$25k,4.25
Liberty Federal Credit Union,5.0,—,4.25%,$0,—,4.25
Rising Bank,3.8,180 Days,4.25%,$1k,$1k,4.25
First Flight Federal Credit Union,5.0,—,4.23%,$10k,—,4.23
TAB Bank,4.2,90 Days,4.21%,$1k,$1k,4.21
KS StateBank,4.1,180 Days,4.20%,$500,$500,4.2
Utah First Federal Credit Union,2.2,—,4.20%,$2k,$2k,4.2
Quorum Federal Credit Union,4.0,—,4.20%,$100,$1k,4.2
All In Credit Union (AL),4.1,—,4.18%,$1k,—,4.18
First National Bank of America,4.2,90 Days,4.16%,$1k,$1k,4.16
Peak Bank,4.1,—,4.16%,$1k,—,4.16
American Bank,4.7,90 Days,4.15%,$500,$500,4.15
Valley Direct,4.6,180 Days,4.15%,$500,$500,4.15
Valley National Bank,5.0,—,4.15%,$500,—,4.15
Luana Savings Bank,3.6,—,4.14%,$2k,—,4.14
Library Of Congress Federal Credit Union,4.0,180 Days,4.11%,$500,$500,4.11
EverBank,3.8,—,4.10%,$1k,—,4.1
American Heritage Credit Union,3.1,180 Days,4.10%,$1k,$500,4.1
Bayer Heritage Federal Credit Union,4.6,90 Days,4.08%,$100,$100,4.08
Velocity Credit Union,4.0,—,4.05%,$1k,$1k,4.05
The Federal Savings Bank,3.4,—,4.05%,$5k,—,4.05
Merrick Bank,2.2,—,4.05%,$25k,$25k,4.05
Genisys Credit Union,4.6,90 Days,4.05%,$500,$500,4.05
Service Credit Union,3.8,—,4.05%,$500,$500,4.05
Salem Five,2.0,—,4.05%,$10k,—,4.05
Pen Air Credit Union,4.7,—,4.05%,$500,—,4.05
Spectrum Credit Union,4.0,—,4.00%,$500,$500,4.0
Marcus by Goldman Sachs,4.6,180 Days,4.00%,$500,$500,4.0
Latino Credit Union,4.8,90 Days,4.00%,$500,$500,4.0
ConnectOne Bank,4.8,180 Days,4.00%,$500,$500,4.0
Chevron Federal Credit Union,5.0,—,4.00%,$500,—,4.0
CFG Bank,4.0,—,4.00%,$500,$500,4.0
Synchrony Bank,4.6,90 Days,4.00%,$0,$0,4.0
American Express,3.8,270 Days,4.00%,$0,$0,4.0
Affinity Plus Federal Credit Union,4.7,180 Days,4.00%,$500,$500,4.0
Bask Bank,3.9,180 Days,4.00%,$1k,$1k,4.0
Fort Bragg Federal Credit Union,3.0,90 Days,4.00%,$25k,$25k,4.0
Barclays,4.8,90 Days,4.00%,$0,$0,4.0
Capital One,4.6,90 Days,4.00%,$0,$0,4.0
Northwest Federal Credit Union,3.1,180 Days,4.00%,$1k,$1k,4.0
Ideal Credit Union,4.6,90 Days,4.00%,$500,$500,4.0
MainStreet Bank,4.4,90 Days,4.00%,$500,$500,4.0
iGObanking,3.8,—,4.00%,$1k,—,4.0
RTP Federal Credit Union,4.4,—,3.98%,$250,—,3.98
Grow Financial Federal Credit Union,4.6,90 Days,3.97%,$500,$500,3.97
Credit Human,3.3,270 Days,3.96%,$500,$500,3.96
Sun Canyon Bank,3.4,180 Days,3.96%,$5k,$5k,3.96
Notre Dame Federal Credit Union,4.3,90 Days,3.95%,$0,$0,3.95
Magnifi Financial,4.6,180 Days,3.95%,$500,$500,3.95
Bank5 Connect,4.6,180 Days,3.95%,$500,$500,3.95
Northrop Grumman Federal Credit Union,3.0,90 Days,3.95%,$2.5k,$2.5k,3.95
Skyla Credit Union,4.7,—,3.90%,$500,$500,3.9
Live Oak Bank,3.6,90 Days,3.90%,$2.5k,$2.5k,3.9
E*TRADE from Morgan Stanley,4.6,—,3.90%,$0,$0,3.9
Crescent Bank,3.8,180 Days,3.90%,$1k,$1k,3.9
Achieva Credit Union,3.8,—,3.90%,$500,$500,3.9
Self-Help Federal Credit Union,4.5,180 Days,3.87%,$500,$500,3.87
Manasquan Bank,4.6,180 Days,3.85%,$500,$500,3.85
Financial Partners Credit Union,2.6,—,3.85%,$1k,$1k,3.85
Matadors Community Credit Union,2.6,—,3.85%,$1k,$1k,3.85
Ally Bank,4.6,60 Days,3.85%,$0,$0,3.85
Hughes Federal Credit Union,3.7,90 Days,3.82%,$1k,$1k,3.82
Marine Federal Credit Union,4.0,180 Days,3.82%,$1k,$1k,3.82
Bread Savings,3.5,180 Days,3.80%,$1.5k,$1.5k,3.8
Vio Bank,3.6,—,3.80%,$500,$500,3.8
Langley Federal Credit Union,4.4,180 Days,3.80%,$500,$500,3.8
University Federal Credit Union,3.6,—,3.80%,$1k,$1k,3.8
Alliant Credit Union,3.7,120 Days,3.80%,$1k,$1k,3.8
State Bank of Texas (SBT),4.1,—,3.80%,$1k,$100k,3.8
CIBC Bank USA,4.1,30 Days,3.76%,$1k,$1k,3.76
Technology Credit Union,3.6,90 Days,3.75%,$1k,$1k,3.75
Hanscom Federal Credit Union,3.5,—,3.75%,$1k,—,3.75
Greenwood Credit Union,3.7,180 Days,3.75%,$1k,$1k,3.75
bankESB,4.4,—,3.75%,$0,—,3.75
"Roxboro Savings Bank, SSB",2.4,—,3.75%,$5k,—,3.75
Teachers Federal Credit Union,3.0,180 Days,3.75%,$1k,$1k,3.75
Regions Bank,4.0,—,3.75%,$500,—,3.75
Premier Members Credit Union,3.4,—,3.75%,$500,$500,3.75
