BankName,Rating,EarlyWithDrawalPenalty,APY,MinEarn,MinDeposit,APY_Value
Northern Bank Direct,3.6,180 Days,4.50%,$500,$500,4.5
Genisys Credit Union,4.8,90 Days,4.48%,$500,$500,4.48
My eBanc,3.4,90 Days,4.45%,$5k,$5k,4.45
GECU,4.7,90 Days,4.44%,$50,$50,4.44
Library Of Congress Federal Credit Union,4.4,180 Days,4.42%,$500,$500,4.42
Colorado Federal Savings Bank,3.6,90 Days,4.40%,$5k,$5k,4.4
Communitywide Federal Credit Union,3.0,—,4.40%,$1k,$1k,4.4
First Internet Bank,3.4,180 Days,4.40%,$1k,$1k,4.4
Providence Bank (NC),4.3,—,4.40%,$1k,—,4.4
Quorum Federal Credit Union,3.2,—,4.40%,$100,$1k,4.4
State Employees' Credit Union (NC),4.7,—,4.40%,$250,$250,4.4
Seattle Bank,4.0,90 Days,4.35%,$1k,$1k,4.35
NexBank,3.2,—,4.35%,$10k,$10k,4.35
Pen Air Credit Union,5.0,—,4.30%,$500,—,4.3
USALLIANCE Financial,4.1,180 Days,4.30%,$500,$500,4.3
Brilliant Bank,3.2,—,4.30%,$1k,$1k,4.3
Sallie Mae Bank,3.7,180 Days,4.30%,$2.5k,$2.5k,4.3
TotalBank,3.6,90 Days,4.25%,$25k,$25k,4.25
Mountain America Credit Union,5.0,—,4.25%,$500,—,4.25
ableBanking,2.2,—,4.25%,$5k,$5k,4.25
Prime Alliance Bank,4.8,30 Days,4.25%,$500,$500,4.25
AmeriCU,3.9,120 Days,4.25%,$500,$500,4.25
TAB Bank,4.2,90 Days,4.21%,$1k,$1k,4.21
Utah First Federal Credit Union,2.2,—,4.20%,$2k,$2k,4.2
Newtek Bank,3.3,180 Days,4.20%,$2.5k,$2.5k,4.2
Merrick Bank,2.2,—,4.20%,$25k,$25k,4.2
KS StateBank,4.1,180 Days,4.20%,$500,$500,4.2
First National Bank of America,4.2,90 Days,4.16%,$1k,$1k,4.16
Peak Bank,4.1,—,4.16%,$1k,—,4.16
American Bank,4.7,90 Days,4.15%,$500,$500,4.15
Salem Five,2.2,—,4.15%,$10k,—,4.15
Luana Savings Bank,3.6,—,4.14%,$2k,—,4.14
All In Credit Union (AL),3.8,—,4.13%,$1k,—,4.13
Achieva Credit Union,4.0,—,4.10%,$500,$500,4.1
American Heritage Credit Union,3.1,180 Days,4.10%,$1k,$500,4.1
EverBank,3.8,—,4.10%,$1k,—,4.1
First Technology Federal Credit Union,4.7,—,4.10%,$500,—,4.1
Velocity Credit Union,4.0,—,4.10%,$1k,$1k,4.1
Popular Direct,2.2,270 Days,4.10%,$10k,$10k,4.1
NASA Federal Credit Union,2.5,182 Days,4.09%,$10k,$10k,4.09
Bayer Heritage Federal Credit Union,4.7,90 Days,4.08%,$100,$100,4.08
RTP Federal Credit Union,4.5,—,4.08%,$250,—,4.08
Self-Help Credit Union,4.7,90 Days,4.08%,$500,$500,4.08
Vision Financial Federal Credit Union,4.3,—,4.07%,$0,—,4.07
Credit Human,3.1,270 Days,4.06%,$500,$500,4.06
The Federal Savings Bank,3.4,—,4.05%,$5k,—,4.05
Synchrony Bank,4.8,180 Days,4.05%,$0,$0,4.05
Limelight Bank,4.2,90 Days,4.05%,$1k,$1k,4.05
ConnectOne Bank,4.7,180 Days,4.00%,$500,$500,4.0
University Federal Credit Union,3.8,—,4.00%,$1k,$1k,4.0
