BankName,Rating,EarlyWithDrawalPenalty,APY,MinEarn,MinDeposit,APY_Value
BCU,5.0,—,4.50%,$500,—,4.5
Genisys Credit Union,4.8,90 Days,4.48%,$500,$500,4.48
My eBanc,3.4,90 Days,4.45%,$5k,$5k,4.45
GECU,4.7,90 Days,4.44%,$50,$50,4.44
Colorado Federal Savings Bank,3.6,90 Days,4.40%,$5k,$5k,4.4
Communitywide Federal Credit Union,3.0,—,4.40%,$1k,$1k,4.4
Sallie Mae Bank,3.6,90 Days,4.40%,$2.5k,$2.5k,4.4
USALLIANCE Financial,4.1,180 Days,4.40%,$500,$500,4.4
Veridian Credit Union,4.1,—,4.40%,$1k,—,4.4
NexBank,3.2,—,4.35%,$10k,$10k,4.35
Seattle Bank,4.0,90 Days,4.35%,$1k,$1k,4.35
Tower Federal Credit Union,4.0,—,4.30%,$500,$500,4.3
Lafayette Federal Credit Union,4.1,180 Days,4.28%,$500,$500,4.28
KS StateBank,4.1,180 Days,4.25%,$500,$500,4.25
TotalBank,3.6,90 Days,4.25%,$25k,$25k,4.25
Topside Federal Credit Union,4.8,—,4.25%,$100,$100,4.25
Prime Alliance Bank,4.8,30 Days,4.25%,$500,$500,4.25
Mountain America Credit Union,5.0,—,4.25%,$500,—,4.25
ableBanking,2.2,—,4.25%,$5k,$5k,4.25
First Technology Federal Credit Union,5.0,—,4.25%,$500,—,4.25
AmeriCU,3.9,120 Days,4.25%,$500,$500,4.25
DC Credit Union,4.1,—,4.22%,$25k,—,4.22
First Internet Bank,3.4,180 Days,4.20%,$1k,$1k,4.2
Peak Bank,3.8,—,4.16%,$1k,—,4.16
American Bank,4.6,90 Days,4.15%,$500,$500,4.15
iGObanking,3.8,—,4.15%,$1k,—,4.15
Salem Five,2.0,—,4.15%,$10k,—,4.15
Service Credit Union,4.7,—,4.15%,$500,—,4.15
Government Printing Office Federal Credit Union,3.1,—,4.14%,$25k,—,4.14
All In Credit Union (AL),3.8,—,4.13%,$1k,—,4.13
Achieva Credit Union,4.0,—,4.10%,$500,$500,4.1
American Heritage Credit Union,3.1,180 Days,4.10%,$1k,$500,4.1
EverBank,3.8,—,4.10%,$1k,—,4.1
NASA Federal Credit Union,2.8,182 Days,4.10%,$1k,$1k,4.1
Self-Help Credit Union,4.5,90 Days,4.08%,$500,$500,4.08
Treasury Department Federal Credit Union,4.7,—,4.07%,$500,—,4.07
Vision Financial Federal Credit Union,4.7,—,4.07%,$0,—,4.07
Loudoun Credit Union,3.5,—,4.06%,$1k,—,4.06
