BankName,Rating,ServiceCharge,APY,MinBalance,EstEarnfor50000,APY_Value
Arizona Financial Credit Union,3.5,$0,3.25%,$10k,$10k,3.25
Forbright Bank,4.8,$0,3.15%,$10k,$250,3.15
Alliant Credit Union,4.0,$1,3.10%,$100,$5,3.1
mph.bank,4.6,—,3.00%,$0,—,3.0
Abound Credit Union,5.0,—,2.96%,$0,—,2.96
PenFed Credit Union,4.7,$0,2.80%,$0,$5,2.8
OneAZ Credit Union,4.8,—,2.70%,$0,$100,2.7
Chartway Federal Credit Union,4.0,—,2.50%,$100,—,2.5
Dow Credit Union,4.7,—,2.28%,$0,$0,2.28
Dover Federal Credit Union,4.0,—,2.00%,$0,—,2.0
Farmers Insurance Federal Credit Union,4.6,$0,2.00%,$0,$0,2.0
Lake Michigan Credit Union,3.9,—,1.75%,$100,$0,1.75
American Bank,4.8,$0,1.50%,$0,$1,1.5
Vantage West Credit Union,3.7,—,1.50%,$10k,$500,1.5
iGObanking,4.6,$0,1.50%,$0,$100,1.5
BankPurely,4.5,—,1.50%,$0,$100,1.5
Banesco USA,3.0,$10,1.35%,$300,$100,1.35
United Nations Federal Credit Union,4.2,—,1.20%,$25k,—,1.2
Vio Bank,3.6,$0,1.10%,$100,$100,1.1
Achieva Credit Union,4.4,—,1.00%,$1,—,1.0
Elements Financial,4.9,$0,1.00%,$2.5k,$5,1.0
KS StateBank,3.9,$0,1.00%,$100,$100,1.0
Newtown Savings Bank,4.6,$0,1.00%,$0,$25,1.0
First International Bank & Trust,4.8,$2,0.85%,$0,$25,0.85
First Internet Bank,4.3,$0,0.81%,$0,$25,0.81
All In Credit Union (AL),4.2,—,0.80%,$0,$5,0.8
Bankers Trust Company,4.2,$6,0.75%,$10k,$1k,0.75
CoVantage Credit Union,4.5,—,0.75%,$0,$10,0.75
Chevron Federal Credit Union,4.3,—,0.75%,$25,$25,0.75
Credit Human,4.0,$0,0.75%,$100,$5,0.75
Bank of Colorado,4.0,$3,0.75%,$0,$200,0.75
Spectrum Credit Union,4.5,—,0.75%,$0,$25,0.75
Customers Bank,3.2,—,0.75%,$5k,$5k,0.75
Amalgamated Bank,4.4,—,0.70%,$0,—,0.7
BB Americas Bank,3.0,—,0.55%,$1k,—,0.55
"UMB Bank, National Association",3.8,$25,0.55%,$0,$25k,0.55
FitnessBank,3.1,$10,0.50%,$100,$100,0.5
Vibrant Credit Union,3.8,$0,0.50%,$0,$0,0.5
"FirstBank (Lakewood, CO)",4.2,$20,0.50%,$20k,—,0.5
Thrivent Federal Credit Union,4.0,$0,0.45%,$25k,$0,0.45
OneUnited Bank,3.5,$5,0.40%,$100,$100,0.4
Northrop Grumman Federal Credit Union,3.7,$2,0.40%,$100,$5,0.4
Greenwood Credit Union,4.6,—,0.35%,$1,$5,0.35
Blue Federal Credit Union,4.1,—,0.30%,$0,$0,0.3
Boeing Employees Credit Union (BECU),4.3,—,0.30%,$0,—,0.3
Pen Air Credit Union,4.2,—,0.30%,$25k,$5,0.3
Premier America Credit Union,4.1,—,0.30%,$0,—,0.3
Self-Help Credit Union,4.5,—,0.30%,$0,$5,0.3
Technology Credit Union,4.0,$0,0.20%,$25,$25,0.2
MidFirst Bank,4.2,$4,0.20%,$10k,$100,0.2
Fort Liberty Federal Credit Union,4.4,—,0.20%,$5,$5,0.2
First American Credit Union,3.2,—,0.20%,$10k,$25,0.2
EastRise Credit Union,4.4,—,0.20%,$0,$5,0.2
Sun Canyon Bank,3.1,$5,0.20%,$25k,$250,0.2
Mohave Community Federal Credit Union,3.2,—,0.20%,$50,$50,0.2
Arizona Bank & Trust,3.8,$15,0.20%,$0,$10k,0.2
Library Of Congress Federal Credit Union,3.8,—,0.15%,$0,$5,0.15
Justice Federal Credit Union,2.6,—,0.15%,$20k,$5,0.15
GTE Financial,3.2,$7,0.15%,$100,$5,0.15
Allegacy Federal Credit Union,4.3,$0,0.15%,$0,$5,0.15
Charles Schwab Bank,4.4,$0,0.15%,$0,—,0.15
Arrowhead Credit Union,2.6,$3,0.15%,$5k,$25,0.15
Valley National Bank,2.8,—,0.15%,$100,—,0.15
Northfield Bank,3.8,$8,0.15%,$0,$10,0.15
Magnifi Financial,4.3,$0,0.15%,$0,$0,0.15
Zions Bank,4.0,$3,0.11%,$25k,$50,0.11
