BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
TotalBank,4.0,$0,4.41%,$2.5k,$25k,4.41
ZYNLO Bank,5.0,$0,4.40%,$0,$0,4.4
Brilliant Bank,4.5,—,4.40%,$1k,$1k,4.4
First Foundation Bank,5.0,$0,4.40%,$0,$1k,4.4
Presidential Bank (MD),5.0,$5,4.37%,$25k,$25k,4.37
Vio Bank,5.0,$0,4.36%,$0,$100,4.36
CFG Bank,4.3,$10,4.32%,$1k,$1k,4.32
Harborstone Credit Union,4.8,—,4.25%,$1,$1,4.25
Merchants Bank of Indiana,5.0,$0,4.25%,$0,$50,4.25
Redneck Bank,5.0,$0,4.25%,$0,$500,4.25
Prime Alliance Bank,5.0,$0,4.15%,$0,—,4.15
Bank of Blue Valley,5.0,—,4.05%,$0,—,4.05
UFB Direct,4.9,$10,4.01%,$0,$0,4.01
Geico Credit Union,5.0,—,4.00%,$15k,—,4.0
Virtual Bank,5.0,$5,4.00%,$0,$100,4.0
iGObanking,3.2,$0,4.00%,$25k,$25k,4.0
EverBank,5.0,$0,4.00%,$10k,$0,4.0
Armed Forces Bank,3.6,—,4.00%,$25k,—,4.0
Banesco USA,3.4,$15,4.00%,$2.5k,$2.5k,4.0
BankPurely,3.6,—,3.90%,$25k,$25k,3.9
My eBanc,4.4,$15,3.90%,$0,$5k,3.9
Sallie Mae Bank,5.0,$0,3.90%,$0,$0,3.9
CNB Bank Direct,3.2,$0,3.80%,$25k,$25k,3.8
Western State Bank,4.8,$0,3.75%,$0,$5k,3.75
Northern Bank Direct,4.8,$0,3.75%,$0,$5k,3.75
FNBO Direct,5.0,$0,3.70%,$25k,$0,3.7
First Internet Bank,5.0,$5,3.61%,$0,$100,3.61
Ally Bank,5.0,$0,3.60%,$0,$0,3.6
Kinecta Federal Credit Union,5.0,—,3.50%,$0,—,3.5
Discover®,5.0,$0,3.50%,$0,$0,3.5
Premier America Credit Union,5.0,—,3.50%,$20k,—,3.5
Chevron Federal Credit Union,5.0,$0,3.40%,$25k,$0,3.4
Spectrum Credit Union,4.8,$0,3.40%,$25k,$0,3.4
Gateway First Bank,4.7,—,3.40%,$25k,—,3.4
Northpointe Bank,3.6,$0,3.25%,$25k,$100,3.25
The Freedom Bank of Virginia,3.5,—,3.25%,$2.5k,—,3.25
Farmers & Merchants Bank,4.6,—,3.04%,$1k,—,3.04
BankUnited,3.0,$15,3.00%,$2.5k,$2.5k,3.0
Fort Liberty Federal Credit Union,3.5,—,3.00%,$2.5k,—,3.0
nbkc bank,5.0,—,3.00%,$0,$0,3.0
Atlantic Union Bank,3.8,$12,2.73%,$0,$25k,2.73
Bellco Credit Union,4.1,$10,2.70%,$10k,$1k,2.7
Pendleton Community Bank,3.0,—,2.65%,$25k,—,2.65
American Heritage Credit Union,3.7,$10,2.65%,$25k,$2k,2.65
EagleBank,4.0,—,2.55%,$0,—,2.55
National Cooperative Bank,3.6,$25,2.53%,$0,$100,2.53
Sun Canyon Bank,3.3,$10,2.53%,$2.5k,$2.5k,2.53
The Bank of Romney,4.1,—,2.53%,$25k,—,2.53
Affinity Plus Federal Credit Union,2.1,$20,2.50%,$10k,—,2.5
Pennsylvania State Employees Credit Union,4.8,—,2.50%,$500,—,2.5
ConnectOne Bank,4.3,$10,2.50%,$25k,$1k,2.5
The Federal Savings Bank,3.3,—,2.50%,$2k,$2k,2.5
Manasquan Bank,4.7,—,2.50%,$0,—,2.5
