BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
Primis Bank,4.5,—,4.20%,$0,$1,4.2
Forbright Bank,3.4,$0,3.00%,$2.5k,$25,3.0
Paramount Bank (MO),4.6,$0,2.00%,$0,$100,2.0
CFG Bank,3.7,—,1.75%,$20k,$50,1.75
International Bank of Chicago,3.5,—,1.50%,$2.5k,$1k,1.5
Vibrant Credit Union,4.2,$0,1.50%,$0,$0,1.5
First National Bank of Brookfield,3.8,—,1.31%,$25k,—,1.31
MainStreet Bank,3.8,$15,1.25%,$25k,$50,1.25
National Cooperative Bank,3.6,$15,1.16%,$0,$0,1.16
American Bank,4.4,$0,1.00%,$0,$1,1.0
NASA Federal Credit Union,3.8,$10,1.00%,$0,$0,1.0
Notre Dame Federal Credit Union,3.0,—,1.00%,$5k,—,1.0
Bask Bank,4.6,$0,1.00%,$0,$0,1.0
Amalgamated Bank,4.0,—,0.55%,$2.5k,—,0.55
American 1 Credit Union,3.1,$5,0.50%,$2k,—,0.5
Communitywide Federal Credit Union,4.4,—,0.50%,$1,$5,0.5
INOVA Federal Credit Union,4.0,$7.50,0.50%,$2k,$10,0.5
Utah First Federal Credit Union,3.4,$0,0.50%,$25k,—,0.5
PenFed Credit Union,4.1,$10,0.35%,$20k,$25,0.35
Woodforest National Bank,2.8,$10,0.35%,$1k,$25,0.35
Community State Bank (8067),4.7,—,0.35%,$0,—,0.35
Albany Bank and Trust Company National Association,3.7,$10,0.35%,$0,$100,0.35
Wells Fargo Bank,3.8,$35,0.35%,$0,$25,0.35
"CNB Bank and Trust, N.A.",3.7,—,0.30%,$20k,—,0.3
Prairie Community Bank,4.4,—,0.30%,$0,—,0.3
Rising Bank,3.6,$0,0.30%,$1k,$1k,0.3
Itasca Bank & Trust Co.,3.7,—,0.30%,$1k,—,0.3
EverBank,4.6,$0,0.25%,$0,$100,0.25
Premier Members Credit Union,3.8,$9.95,0.25%,$0,$25,0.25
Pima Federal Credit Union,4.2,$0,0.25%,$0,—,0.25
Northpointe Bank,3.2,—,0.25%,$25k,$2.5k,0.25
Greenwood Credit Union,3.4,$7,0.25%,$1k,$5,0.25
Giantbank.com,3.6,—,0.25%,$1k,$100,0.25
Community Bank of Elmhurst,4.3,—,0.25%,$1,—,0.25
CIT Bank,4.4,$0,0.25%,$25k,$100,0.25
Ally Bank,4.6,$0,0.25%,$15k,$0,0.25
Alliant Credit Union,4.6,$0,0.25%,$0,$25,0.25
Dow Credit Union,4.2,—,0.25%,$0,$0,0.25
Central Bank Illinois,2.5,$10,0.20%,$10k,$200,0.2
First Bank/Illinois,3.4,—,0.20%,$950,—,0.2
Newtown Savings Bank,3.2,$25,0.20%,$0,$25,0.2
MutualOne Bank,3.8,$8,0.15%,$5k,$100,0.15
Service Credit Union,4.0,—,0.15%,$0,—,0.15
Peoples Bank of Kankakee County,3.7,—,0.15%,$20k,—,0.15
Liberty Bank and Trust Company,4.1,—,0.15%,$0,—,0.15
A.A.E.C. Credit Union,4.1,—,0.15%,$0,—,0.15
First American Bank (IL),2.4,$25,0.15%,$1k,$100,0.15
Affinity Plus Federal Credit Union,3.5,$6,0.13%,$200,—,0.13
Presidential Bank (MD),4.2,$5,0.12%,$0,$1.5k,0.12
United Trust Bank,3.8,—,0.12%,$10k,—,0.12
Republic Bank of Chicago,3.8,$10,0.10%,$0,$25,0.1
