BankName,Rating,ServiceCharge,APY,MinEarn,MinDeposit,APY_Value
TotalBank,4.0,$0,4.41%,$2.5k,$25k,4.41
Brilliant Bank,4.5,—,4.35%,$1k,$1k,4.35
CFG Bank,4.3,$10,4.32%,$1k,$1k,4.32
Vio Bank,5.0,$0,4.31%,$0,$100,4.31
ZYNLO Bank,5.0,$0,4.31%,$0,$0,4.31
Merchants Bank of Indiana,5.0,$0,4.25%,$0,$50,4.25
My eBanc,4.4,$15,4.25%,$0,$5k,4.25
Quontic Bank,5.0,$0,4.25%,$0,$100,4.25
Harborstone Credit Union,4.8,—,4.25%,$1,$1,4.25
First Foundation Bank,5.0,$0,4.25%,$0,$1k,4.25
M.Y. Safra Bank,3.5,$10,4.15%,$5k,—,4.15
First Flight Federal Credit Union,3.8,—,4.07%,$10k,—,4.07
Prime Alliance Bank,5.0,$0,4.05%,$0,—,4.05
UFB Direct,4.9,$10,4.01%,$0,$0,4.01
EverBank,5.0,$0,4.00%,$10k,$0,4.0
Virtual Bank,5.0,—,4.00%,$0,—,4.0
iGObanking,3.2,$0,4.00%,$25k,$25k,4.0
Redneck Bank,5.0,$0,4.00%,$0,$500,4.0
"UMB Bank, National Association",4.9,$10,3.95%,$10k,$100,3.95
Bank of Blue Valley,5.0,—,3.95%,$0,—,3.95
BankPurely,3.6,—,3.90%,$25k,$25k,3.9
Sallie Mae Bank,5.0,$0,3.85%,$0,$0,3.85
CNB Bank Direct,3.2,$0,3.80%,$25k,$25k,3.8
Northern Bank Direct,4.8,$0,3.75%,$0,$5k,3.75
Western State Bank,4.8,$0,3.75%,$0,$5k,3.75
FNBO Direct,5.0,$0,3.60%,$25k,$0,3.6
Armed Forces Bank,3.3,—,3.51%,$25k,—,3.51
Bell Bank,3.3,—,3.51%,$25k,$50,3.51
Ally Bank,5.0,$0,3.50%,$0,$0,3.5
Spectrum Credit Union,4.8,$0,3.40%,$25k,$0,3.4
Chevron Federal Credit Union,5.0,$0,3.40%,$25k,$0,3.4
Discover®,5.0,$0,3.40%,$0,$0,3.4
Vibrant Credit Union,4.7,—,3.33%,$0,—,3.33
Gateway First Bank,4.7,—,3.25%,$25k,—,3.25
Northpointe Bank,3.8,$0,3.25%,$25k,$100,3.25
Bank5 Connect,4.0,—,3.03%,$100,—,3.03
Fort Bragg Federal Credit Union,3.5,—,3.00%,$2.5k,—,3.0
nbkc bank,5.0,—,3.00%,$0,$0,3.0
American Heritage Credit Union,3.7,$10,2.65%,$25k,$2k,2.65
National Cooperative Bank,3.6,$25,2.53%,$0,$100,2.53
Sun Canyon Bank,3.3,$10,2.53%,$2.5k,$2.5k,2.53
ConnectOne Bank,4.3,$10,2.50%,$25k,$1k,2.5
The Federal Savings Bank,3.3,—,2.50%,$2k,$2k,2.5
Affinity Plus Federal Credit Union,2.1,$20,2.50%,$10k,—,2.5
First National Bank Texas,4.3,$12,2.50%,$25k,$0,2.5
Pennsylvania State Employees Credit Union,4.8,—,2.50%,$500,—,2.5
Luana Savings Bank,3.7,$10,2.43%,$2.5k,$2.5k,2.43
Achieva Credit Union,3.4,—,2.25%,$10k,—,2.25
Finworth,2.8,—,2.22%,$10k,$10k,2.22
Latino Credit Union,4.6,$5,2.22%,$500,$500,2.22
Utah First Federal Credit Union,5.0,—,2.10%,$25k,—,2.1
First International Bank & Trust,2.2,$15,2.10%,$25k,$25k,2.1
Self-Help Federal Credit Union,3.8,$5,2.08%,$500,$500,2.08
KS StateBank,5.0,$0,2.02%,$25k,$2.5k,2.02
