BankName,Rating,EarlyWithDrawalPenalty,APY,MinEarn,MinDeposit,APY_Value
Northern Bank Direct,4.0,180 Days,4.50%,$500,$500,4.5
My eBanc,3.4,90 Days,4.45%,$5k,$5k,4.45
GECU,4.7,90 Days,4.44%,$50,$50,4.44
First Internet Bank,3.4,180 Days,4.40%,$1k,$1k,4.4
Communitywide Federal Credit Union,3.0,—,4.40%,$1k,$1k,4.4
Colorado Federal Savings Bank,3.6,90 Days,4.40%,$5k,$5k,4.4
Genisys Credit Union,4.8,90 Days,4.37%,$500,$500,4.37
Seattle Bank,4.0,90 Days,4.35%,$1k,$1k,4.35
NexBank,3.2,—,4.35%,$10k,$10k,4.35
BCU,5.0,—,4.35%,$500,—,4.35
USALLIANCE Financial,4.1,180 Days,4.30%,$500,$500,4.3
Prime Alliance Bank,4.8,30 Days,4.30%,$500,$500,4.3
Lafayette Federal Credit Union,4.1,180 Days,4.28%,$500,$500,4.28
ableBanking,2.2,—,4.25%,$5k,$5k,4.25
AmeriCU,3.9,120 Days,4.25%,$500,$500,4.25
TotalBank,3.6,90 Days,4.25%,$25k,$25k,4.25
TAB Bank,4.2,90 Days,4.21%,$1k,$1k,4.21
Mountain America Credit Union,5.0,—,4.20%,$500,—,4.2
Utah First Federal Credit Union,2.2,—,4.20%,$2k,$2k,4.2
Sallie Mae Bank,3.6,90 Days,4.20%,$2.5k,$2.5k,4.2
KS StateBank,4.1,180 Days,4.20%,$500,$500,4.2
All In Credit Union (AL),4.1,—,4.18%,$1k,—,4.18
First National Bank of America,4.2,90 Days,4.16%,$1k,$1k,4.16
Peak Bank,4.1,—,4.16%,$1k,—,4.16
American Bank,4.7,90 Days,4.15%,$500,$500,4.15
Salem Five,2.2,—,4.15%,$10k,—,4.15
Library Of Congress Federal Credit Union,4.0,180 Days,4.11%,$500,$500,4.11
American Heritage Credit Union,3.1,180 Days,4.10%,$1k,$500,4.1
EverBank,3.8,—,4.10%,$1k,—,4.1
NASA Federal Credit Union,2.8,182 Days,4.10%,$1k,$1k,4.1
Velocity Credit Union,4.0,—,4.10%,$1k,$1k,4.1
Self-Help Credit Union,4.5,90 Days,4.08%,$500,$500,4.08
Bayer Heritage Federal Credit Union,4.6,90 Days,4.08%,$100,$100,4.08
Vision Financial Federal Credit Union,4.7,—,4.07%,$0,—,4.07
"First Merchants Bank (Muncie, IN)",3.1,—,4.05%,$2.5k,—,4.05
Pen Air Credit Union,4.7,—,4.05%,$500,—,4.05
Credit Human,3.4,270 Days,4.01%,$500,$500,4.01
Centier Bank,2.8,—,4.00%,$1k,$1k,4.0
Citi,4.0,180 Days,4.00%,$0,$500,4.0
Evergreen Bank Group,4.7,90 Days,4.00%,$500,$500,4.0
Fort Bragg Federal Credit Union,3.0,90 Days,4.00%,$25k,$25k,4.0
Matadors Community Credit Union,2.8,—,4.00%,$1k,$1k,4.0
Ideal Credit Union,4.6,90 Days,4.00%,$500,$500,4.0
iGObanking,3.8,—,4.00%,$1k,—,4.0
MainStreet Bank,4.4,90 Days,4.00%,$500,$500,4.0
Northwest Federal Credit Union,3.1,180 Days,4.00%,$1k,$1k,4.0
Sun East Federal Credit Union,3.8,180 Days,4.00%,$500,$500,4.0
Synchrony Bank,4.6,90 Days,4.00%,$0,$0,4.0
Capital One,4.6,90 Days,4.00%,$0,$0,4.0
Barclays,4.8,90 Days,4.00%,$0,$0,4.0
Grow Financial Federal Credit Union,4.6,90 Days,3.97%,$500,$500,3.97
Bank5 Connect,3.9,180 Days,3.95%,$500,$500,3.95
Latino Credit Union,4.3,90 Days,3.95%,$500,$500,3.95
Notre Dame Federal Credit Union,4.3,90 Days,3.95%,$0,$0,3.95
Sandia Area Federal Credit Union,3.6,—,3.95%,$500,$500,3.95
Northrop Grumman Federal Credit Union,3.0,90 Days,3.95%,$2.5k,$2.5k,3.95
Crescent Bank,3.7,90 Days,3.90%,$1k,$1k,3.9
Chevron Federal Credit Union,3.6,—,3.90%,$500,$500,3.9
Affinity Plus Federal Credit Union,3.7,180 Days,3.90%,$500,$500,3.9
Achieva Credit Union,3.8,—,3.90%,$500,$500,3.9
First Technology Federal Credit Union,4.4,—,3.90%,$500,—,3.9
Ally Bank,4.6,60 Days,3.85%,$0,$0,3.85
Fortera Credit Union,4.0,90 Days,3.85%,$1k,$1k,3.85
Hughes Federal Credit Union,3.7,90 Days,3.82%,$1k,$1k,3.82
State Bank of Texas (SBT),4.1,—,3.80%,$1k,$100k,3.8
University Federal Credit Union,3.6,—,3.80%,$1k,$1k,3.8
Armed Forces Bank,3.0,365 Days,3.75%,$500,$500,3.75
Blue Federal Credit Union,3.6,90 Days,3.75%,$1k,$1k,3.75
Busey Bank,3.2,—,3.75%,$1k,—,3.75
Hanscom Federal Credit Union,3.2,—,3.75%,$1k,—,3.75
Regions Bank,4.0,—,3.75%,$500,—,3.75
Teachers Federal Credit Union,3.0,180 Days,3.75%,$1k,$1k,3.75
Technology Credit Union,3.6,90 Days,3.75%,$1k,$1k,3.75
