BankName,Rating,ServiceCharge,APY,MinBalance,EstEarnfor50000,APY_Value
Forbright Bank,4.8,$0,3.15%,$10k,$250,3.15
Alliant Credit Union,4.0,$0,3.10%,$100,$5,3.1
Hanmi Bank,4.7,—,3.00%,$0,—,3.0
mph.bank,4.6,—,3.00%,$0,—,3.0
Abound Credit Union,5.0,—,2.96%,$0,—,2.96
PenFed Credit Union,4.7,$0,2.80%,$0,$5,2.8
Chartway Federal Credit Union,4.0,—,2.50%,$100,—,2.5
NuMark Credit Union,4.3,—,2.40%,$25k,—,2.4
Dow Credit Union,4.7,—,2.28%,$0,$0,2.28
Farmers Insurance Federal Credit Union,4.6,$0,2.00%,$0,$0,2.0
M.Y. Safra Bank,2.9,$5,2.00%,$5k,$100,2.0
The State Exchange Bank,4.4,—,1.90%,$0,$1,1.9
BankPurely,4.5,—,1.50%,$0,$100,1.5
iGObanking,4.6,$0,1.50%,$0,$100,1.5
"North Shore Bank, FSB",4.0,$20,1.50%,$0,$25,1.5
American Bank,4.8,$0,1.50%,$0,$1,1.5
First National Bank of Brookfield,3.7,—,1.36%,$25k,—,1.36
A.A.E.C. Credit Union,4.4,—,1.35%,$0,—,1.35
United Nations Federal Credit Union,4.2,—,1.20%,$25k,—,1.2
Vio Bank,3.6,$0,1.10%,$100,$100,1.1
Newtown Savings Bank,4.6,$0,1.00%,$0,$25,1.0
KS StateBank,3.9,$0,1.00%,$100,$100,1.0
International Bank of Chicago,3.5,—,1.00%,$200,$200,1.0
Achieva Credit Union,4.4,—,1.00%,$1,—,1.0
One American Bank,4.4,—,1.00%,$1k,—,1.0
Affinity Federal Credit Union,4.5,$0,0.90%,$25k,$0,0.9
Providence Bank & Trust,4.7,—,0.80%,$25k,—,0.8
All In Credit Union (AL),4.2,—,0.80%,$0,$5,0.8
Spectrum Credit Union,4.5,—,0.75%,$0,$25,0.75
Chevron Federal Credit Union,4.3,—,0.75%,$25,$25,0.75
Credit Human,4.0,$0,0.75%,$100,$5,0.75
Amalgamated Bank,4.4,—,0.70%,$0,—,0.7
First Security Bank & Trust,3.9,—,0.66%,$25k,$10k,0.66
"CNB Bank and Trust, N.A.",3.5,—,0.65%,$40,—,0.65
CoVantage Credit Union,4.3,—,0.65%,$0,$10,0.65
BB Americas Bank,3.1,$5,0.55%,$1k,$1k,0.55
Vibrant Credit Union,3.8,$0,0.50%,$0,$0,0.5
American 1 Credit Union,4.6,—,0.50%,$0,—,0.5
MainStreet Bank,4.1,—,0.50%,$0,—,0.5
First Bank/Illinois,3.0,—,0.50%,$500,—,0.5
Amegy Bank,4.3,$4,0.45%,$25k,$50,0.45
Thrivent Federal Credit Union,4.0,$0,0.45%,$25k,$0,0.45
Cornerstone National Bank & Trust Company,4.3,—,0.45%,$100,—,0.45
Paramount Bank (MO),4.1,—,0.40%,$0,$100,0.4
Northrop Grumman Federal Credit Union,3.7,$2,0.40%,$100,$5,0.4
OneUnited Bank,3.5,$5,0.40%,$100,$100,0.4
Woodforest National Bank,3.8,$3,0.40%,$10k,$25,0.4
SRP Federal Credit Union,4.1,—,0.37%,$0,$0,0.37
Peoples Bank of Kankakee County,3.2,—,0.37%,$300,—,0.37
Albany Bank and Trust Company National Association,2.5,$2.50,0.35%,$500,$500,0.35
Evergreen Bank Group,4.6,$1,0.35%,$0,$100,0.35
Greenwood Credit Union,4.6,—,0.35%,$1,$5,0.35
Scott Credit Union,4.6,$0,0.35%,$0,$5,0.35
Velocity Credit Union,3.7,$0,0.30%,$1.5k,$5,0.3
Prairie Community Bank,3.7,—,0.30%,$100,—,0.3
Boeing Employees Credit Union (BECU),4.6,—,0.30%,$0,—,0.3
Itasca Bank & Trust Co.,3.2,—,0.30%,$250,—,0.3
Self-Help Federal Credit Union,3.7,$0,0.30%,$100,$5,0.3
Allegius Federal Credit Union,3.6,$5,0.30%,$50,$5,0.3
Blue Federal Credit Union,4.1,—,0.30%,$0,$0,0.3
Alabama Credit Union,3.8,—,0.25%,$0,—,0.25
First State Bank (Mendota),3.8,—,0.25%,$0,—,0.25
Service Credit Union,3.2,—,0.25%,$50,—,0.25
The Federal Savings Bank,3.4,—,0.25%,$100,$25,0.25
2 Rivers Area Credit Union,4.4,—,0.25%,$0,—,0.25
Central Bank Illinois,3.6,$5,0.25%,$0,$100,0.25
Community Bank of Elmhurst,4.4,—,0.25%,$0,—,0.25
Community State Bank (8067),4.4,—,0.25%,$0,—,0.25
Pennsylvania State Employees Credit Union,4.6,—,0.25%,$0,$5,0.25
Utah First Federal Credit Union,4.6,—,0.25%,$2k,$5,0.25
